Age,fnlwgt,education,education-num,sex,capital-gain,capital-loss,hours-per-week,salary-status
20,188300,13,10,1,0,0,40,0
29,103432,9,9,0,0,0,40,0
32,317660,9,9,0,7688,0,40,1
30,194901,7,7,0,0,0,40,0
31,189265,9,9,1,0,0,40,0
42,124692,9,9,0,0,0,40,0
24,432376,14,13,0,0,0,40,0
38,65324,10,15,0,0,0,40,1
56,335605,9,9,0,0,1887,50,1
28,377869,13,10,1,4064,0,25,0
36,102864,9,9,1,0,0,40,0
53,95647,5,5,0,0,0,50,0
56,303090,13,10,0,0,0,50,0
49,197371,12,11,0,0,0,40,1
55,247552,13,10,0,0,0,56,0
22,102632,9,9,0,0,0,41,0
21,199915,13,10,1,0,0,40,0
40,118853,14,13,0,0,0,60,0
30,77143,14,13,0,0,0,40,0
29,267989,14,13,0,0,0,50,1
19,301606,13,10,0,0,0,35,0
47,287828,14,13,1,0,0,40,1
20,111697,13,10,1,0,1719,28,0
31,114937,11,12,0,0,0,40,1
39,365739,13,10,0,0,0,40,0
28,69621,11,12,1,0,0,60,0
24,43323,9,9,1,0,1762,40,0
38,120985,9,9,0,4386,0,35,0
37,254202,14,13,0,0,0,50,0
46,146195,11,12,1,0,0,36,0
38,125933,15,14,0,0,0,40,1
43,56920,9,9,0,0,0,60,0
27,163127,12,11,1,0,0,35,0
20,34310,13,10,0,0,0,20,0
49,81973,13,10,0,0,0,40,1
61,66614,9,9,0,0,0,40,0
27,232782,13,10,1,0,0,40,0
19,316868,13,10,0,0,0,30,0
45,196584,12,11,1,0,1564,40,1
70,105376,13,10,0,0,0,40,0
31,185814,9,9,1,0,0,30,0
22,175374,13,10,0,0,0,24,0
36,108293,9,9,1,0,0,24,0
64,181232,7,7,0,0,2179,40,0
47,186009,13,10,1,0,0,38,0
34,198183,9,9,1,0,0,40,0
33,163003,14,13,1,0,0,40,0
21,296158,9,9,0,0,0,35,0
48,187715,9,9,0,0,0,46,0
23,214542,14,13,0,0,0,40,0
71,494223,13,10,0,0,1816,2,0
29,191535,9,9,0,0,0,60,0
42,228456,14,13,0,0,0,50,0
25,252752,9,9,1,0,0,40,0
44,78374,15,14,1,0,0,40,0
28,88419,9,9,1,0,0,40,0
45,201080,15,14,0,0,0,40,1
36,207157,13,10,1,0,0,40,0
39,235485,11,12,0,0,0,42,0
46,102628,15,14,0,0,0,40,0
18,25828,7,7,0,0,0,16,0
66,54826,12,11,1,0,0,20,0
27,124953,9,9,0,0,1980,40,0
28,175325,9,9,0,0,0,40,0
51,96062,13,10,0,0,1977,40,1
27,428030,14,13,0,0,0,50,0
28,149624,14,13,0,0,0,40,1
27,253814,9,9,1,0,0,25,0
21,312956,9,9,0,0,0,40,0
34,483777,9,9,0,0,0,40,0
18,183930,9,9,0,0,0,12,0
33,37274,14,13,0,0,0,65,0
44,181344,13,10,0,0,0,38,1
43,114580,13,10,1,0,0,40,0
30,633742,13,10,0,0,0,45,0
40,286370,4,4,0,0,0,40,1
37,29054,13,10,0,0,0,42,1
34,304030,9,9,0,0,0,40,0
41,143129,14,13,1,0,0,40,0
31,99928,15,14,1,0,0,50,0
58,109567,16,16,0,0,0,1,1
38,155222,13,10,1,0,0,28,0
24,159567,13,10,0,0,0,40,0
41,523910,14,13,0,0,0,40,0
47,120939,13,10,0,0,0,45,0
41,130760,14,13,0,0,0,24,0
23,197387,3,3,0,0,0,40,0
36,99374,13,10,0,0,0,40,0
40,56795,15,14,1,14084,0,55,1
35,138992,15,14,0,7298,0,40,1
24,32921,9,9,0,0,0,40,0
26,397317,15,14,1,0,1876,40,0
51,259323,14,13,0,0,0,50,1
42,254817,13,10,1,0,1340,40,0
37,48211,9,9,1,0,0,35,0
18,140164,7,7,1,0,0,40,0
36,128757,14,13,0,7298,0,36,1
35,36270,9,9,0,0,0,60,0
58,210563,9,9,1,15024,0,35,1
17,65368,7,7,1,0,0,12,0
44,160943,9,9,0,0,0,40,0
37,208358,9,9,0,0,0,40,1
35,153790,13,10,1,0,0,40,0
60,85815,9,9,0,0,0,40,0
54,125417,4,4,0,0,0,40,1
37,635913,14,13,0,0,0,60,1
50,313321,11,12,1,0,0,40,0
38,182609,14,13,0,0,0,50,0
45,109434,14,13,0,0,0,55,0
25,255004,6,6,0,0,0,40,0
31,197860,13,10,0,0,0,40,0
90,51744,9,9,0,0,2206,40,0
54,176681,9,9,0,0,0,20,0
53,140359,1,1,1,0,0,35,0
18,243313,9,9,1,0,0,40,0
66,167687,9,9,0,1409,0,50,0
75,314209,12,11,1,0,0,20,0
65,176796,9,9,1,0,0,40,0
35,538583,7,7,0,3674,0,40,0
41,130408,9,9,1,0,0,38,0
25,159732,13,10,0,0,0,42,0
33,110978,13,10,1,0,0,40,0
28,76714,10,15,0,0,0,55,1
59,268700,9,9,0,0,0,40,0
40,170525,13,10,1,0,0,38,0
41,180138,14,13,0,0,0,50,1
38,115076,15,14,0,0,0,70,1
23,115458,9,9,0,0,0,40,0
40,347890,14,13,0,0,0,40,1
41,196001,9,9,1,0,0,20,0
24,273905,11,12,0,0,0,50,0
38,179488,13,10,0,0,1741,40,0
56,203580,9,9,0,0,0,35,0
58,236596,9,9,0,0,0,45,1
32,183916,9,9,1,0,0,34,0
40,207578,11,12,0,0,1977,60,1
45,153141,9,9,0,0,0,40,0
41,112763,10,15,1,0,0,40,1
42,390781,14,13,1,0,0,40,0
59,171328,6,6,1,0,0,30,0
19,27382,13,10,0,0,0,40,0
58,259014,13,10,0,0,0,20,0
42,303044,9,9,0,0,0,40,1
20,117789,9,9,1,0,0,40,0
32,172579,9,9,1,0,0,30,0
45,187666,12,11,1,0,0,45,0
50,204518,4,4,0,0,0,40,0
36,150042,14,13,1,0,0,40,0
45,98092,9,9,0,0,0,60,0
17,245918,7,7,0,0,0,12,0
59,146013,13,10,0,4064,0,40,0
26,378322,7,7,0,0,0,40,0
37,257295,13,10,0,0,0,75,1
64,21174,9,9,0,0,0,40,1
33,185480,14,13,1,0,0,45,0
33,222205,9,9,1,0,0,40,1
61,69867,9,9,0,0,0,40,1
17,191260,5,5,0,1055,0,24,0
50,30653,15,14,0,2407,0,98,0
27,209109,15,14,0,0,0,35,0
30,70377,9,9,1,0,0,40,0
43,477983,9,9,0,0,0,40,0
44,170924,13,10,0,7298,0,40,1
35,190174,13,10,1,0,0,40,0
25,193787,13,10,1,0,0,40,0
24,279472,13,10,1,7298,0,48,1
22,34918,14,13,1,0,0,15,0
42,97688,13,10,0,5178,0,40,1
34,175413,11,12,1,0,0,45,0
60,173960,14,13,1,0,0,42,0
21,205759,9,9,0,0,0,40,0
57,425161,15,14,0,15024,0,40,1
41,220531,10,15,0,0,0,60,1
50,176609,13,10,0,0,0,45,0
25,371987,14,13,1,0,0,40,0
50,193884,4,4,0,0,0,40,0
36,200352,14,13,0,0,0,45,0
31,127595,9,9,1,0,0,40,0
29,220419,14,13,0,0,0,56,0
21,231931,13,10,0,0,0,45,0
27,248402,14,13,1,0,0,40,0
65,111095,9,9,0,0,0,16,0
37,57424,14,13,1,0,0,60,0
24,278130,9,9,0,0,0,40,0
38,169469,9,9,0,0,0,80,0
48,146268,14,13,0,7688,0,40,1
21,153718,13,10,1,0,0,25,0
31,217460,9,9,0,0,0,45,1
55,238638,9,9,0,4386,0,40,1
24,303296,13,10,1,0,0,40,0
43,173321,9,9,1,0,0,40,0
26,193945,11,12,0,0,0,45,0
46,83082,11,12,1,0,0,33,0
35,193815,11,12,0,0,0,40,1
41,34987,13,10,0,0,0,54,1
26,59306,14,13,0,0,0,40,0
34,142897,15,14,0,7298,0,35,1
36,205607,14,13,1,0,0,40,1
22,199698,13,10,0,0,0,15,0
24,191954,13,10,0,0,0,40,0
77,138714,13,10,0,0,0,40,0
22,399087,3,3,1,0,0,40,0
29,423158,13,10,1,0,0,40,0
62,159841,9,9,1,0,0,24,0
39,174308,9,9,0,0,0,40,0
43,50356,13,10,0,0,1485,50,0
35,186110,9,9,0,0,0,45,0
29,200381,7,7,1,0,0,40,0
76,174309,15,14,0,0,0,10,0
63,78383,9,9,0,0,0,45,0
43,187728,13,10,1,0,1887,50,1
58,321171,9,9,0,0,0,40,0
66,127921,9,9,0,2050,0,55,0
41,206565,13,10,0,0,0,45,0
26,224563,14,13,0,0,0,40,0
47,178686,12,11,0,0,0,40,0
55,98545,6,6,0,0,0,40,0
53,242606,9,9,0,0,0,40,0
17,270942,3,3,0,0,0,48,0
30,94235,9,9,0,0,0,40,0
49,71195,15,14,0,0,0,60,0
19,104112,9,9,0,0,0,30,0
45,261192,9,9,0,0,0,40,0
26,94936,11,12,0,0,0,40,0
38,296478,12,11,0,7298,0,40,1
36,119272,9,9,0,7298,0,40,1
33,85043,9,9,0,0,0,20,0
22,293364,13,10,1,0,0,40,0
43,241895,14,13,0,0,0,42,0
56,101128,11,12,0,0,0,25,0
31,156464,14,13,0,0,0,25,0
33,117963,14,13,0,0,0,40,1
26,192262,9,9,0,0,0,40,0
33,111363,14,13,0,0,0,40,1
46,329752,7,7,0,0,0,30,0
38,95432,9,9,0,0,0,40,1
65,161400,7,7,0,0,0,40,0
40,96129,12,11,0,0,0,40,1
42,111949,9,9,1,0,0,35,0
26,117125,5,5,0,0,0,40,0
36,348022,6,6,1,0,0,24,0
62,270092,15,14,0,0,0,40,1
43,180609,14,13,0,0,0,45,0
43,174575,14,13,0,0,1564,45,1
22,410439,9,9,0,0,0,55,0
28,92262,9,9,0,0,0,40,0
56,183081,13,10,0,0,0,45,0
22,362589,11,12,1,0,0,15,0
57,212448,14,13,1,0,0,45,1
39,481060,9,9,1,0,0,40,0
26,185885,13,10,1,0,0,15,0
17,89821,7,7,0,0,0,10,0
40,184018,12,11,0,0,0,38,1
45,256649,9,9,0,0,0,40,0
44,160323,9,9,0,0,0,40,0
20,350845,13,10,1,0,0,10,0
33,267404,9,9,1,0,0,40,0
23,35633,13,10,0,0,0,40,0
46,80914,15,14,0,0,0,30,0
38,172927,9,9,0,0,0,50,0
54,174319,9,9,0,0,0,40,0
46,214955,3,3,1,0,2339,45,0
25,344991,13,10,0,0,0,40,0
46,108699,13,10,1,0,0,40,0
36,117312,13,10,1,0,0,40,0
23,396099,9,9,1,0,0,25,0
29,134152,9,9,0,0,0,40,0
44,162028,13,10,1,0,2415,6,1
19,25429,13,10,1,0,0,16,0
19,232392,9,9,1,0,0,40,0
35,220098,9,9,1,0,0,40,1
27,301302,14,13,0,0,0,50,0
46,277946,11,12,0,0,0,40,0
34,98101,14,13,0,7688,0,45,1
34,196164,9,9,1,0,0,35,0
44,115562,13,10,0,0,0,40,0
45,96975,13,10,1,0,0,40,0
25,86872,14,13,0,0,0,55,1
52,132178,14,13,0,0,0,50,1
20,416103,13,10,0,0,0,40,0
28,108574,13,10,1,0,0,40,0
50,288353,14,13,0,0,0,40,1
34,227689,12,11,1,0,0,64,0
28,166481,4,4,0,0,2179,40,0
41,445382,15,14,0,0,1977,65,1
28,110145,9,9,0,0,0,40,0
46,317253,9,9,0,0,0,25,0
32,364657,13,10,0,0,0,50,0
41,42346,13,10,1,0,0,24,0
24,241951,9,9,1,0,0,40,0
33,118500,13,10,1,0,0,40,0
46,188386,16,16,0,15024,0,60,1
31,1033222,13,10,0,0,0,40,0
35,92440,8,8,0,0,0,50,1
52,190762,2,2,0,0,0,40,0
30,426017,7,7,1,0,0,19,0
34,243867,7,7,0,0,0,40,0
34,240283,9,9,1,0,0,40,0
20,61777,13,10,0,0,0,30,0
17,175024,7,7,0,2176,0,18,0
32,92003,14,13,1,0,0,40,1
29,188401,9,9,0,0,0,40,0
33,228528,6,6,1,0,0,35,0
25,133373,9,9,0,0,0,60,0
36,255191,15,14,0,0,1408,40,0
23,204653,9,9,0,0,0,72,0
63,222289,9,9,0,0,0,40,1
47,287480,15,14,0,0,0,40,0
40,204116,14,13,1,2174,0,40,0
30,29662,11,12,1,0,0,25,1
27,116358,13,10,0,0,1980,40,0
33,208405,15,14,0,0,0,50,1
34,284843,9,9,0,594,0,60,0
34,117018,13,10,1,0,0,40,0
23,81281,13,10,0,0,0,40,0
42,340148,13,10,1,0,0,40,0
29,363425,14,13,0,0,0,40,0
45,45857,9,9,1,0,0,28,0
24,191073,9,9,0,0,0,40,0
44,116632,13,10,0,0,0,40,1
27,405855,5,5,0,0,0,40,0
20,298227,13,10,0,0,0,35,0
44,290521,9,9,1,0,0,40,0
51,56915,9,9,0,0,0,40,0
20,146538,9,9,0,0,0,40,0
19,206399,9,9,1,0,0,40,0
45,197332,13,10,0,0,0,55,1
60,245062,9,9,0,0,0,40,1
42,197583,11,12,0,0,0,40,1
44,234885,9,9,1,0,0,40,1
40,72887,12,11,0,0,0,40,1
30,180374,9,9,1,0,0,40,0
38,351299,13,10,0,0,0,50,0
23,54012,9,9,0,0,0,60,0
44,116632,11,12,0,0,0,40,0
54,288825,9,9,0,0,0,40,0
32,132601,14,13,0,0,0,50,0
50,193374,2,2,0,0,0,40,0
24,170070,14,13,1,0,0,20,0
37,126708,9,9,1,0,0,60,0
52,35598,9,9,0,0,0,40,0
38,33983,13,10,0,0,0,40,0
49,192776,15,14,0,0,1977,45,1
30,118551,14,13,1,0,0,16,1
60,201965,13,10,0,0,0,40,1
35,285020,9,9,0,0,0,40,0
30,303990,9,9,0,0,0,60,0
67,49401,12,11,1,0,0,24,0
46,279196,14,13,1,0,0,40,0
17,211870,5,5,0,0,0,6,0
22,281432,13,10,0,0,0,30,0
27,161155,6,6,0,0,0,40,0
23,197904,9,9,1,0,0,35,0
33,111746,11,12,0,0,0,45,0
43,170721,13,10,0,0,0,20,0
28,70100,14,13,0,0,0,20,0
41,193626,9,9,1,0,0,40,0
25,189775,13,10,1,0,0,20,0
59,286967,9,9,0,0,0,45,0
45,164427,14,13,1,0,0,40,0
38,91039,14,13,0,15024,0,60,1
40,347934,9,9,1,0,0,35,0
46,371373,9,9,0,0,0,40,0
35,32220,11,12,1,0,0,60,0
34,187251,9,9,1,0,0,25,0
33,178107,14,13,0,0,0,20,0
41,343121,9,9,1,0,0,36,0
20,262749,13,10,0,0,0,40,0
23,403107,3,3,0,0,0,40,0
26,64293,13,10,1,0,0,35,0
23,324960,9,9,0,0,0,40,0
62,114060,9,9,0,0,0,40,0
52,48925,13,10,0,0,0,40,0
58,180980,13,10,1,0,0,42,0
25,181054,14,13,1,0,0,40,0
24,388093,14,13,0,0,0,40,0
19,249609,13,10,0,0,0,8,0
43,112131,13,10,0,0,0,40,0
47,543162,9,9,1,0,0,40,0
39,91996,9,9,1,0,0,40,0
49,141944,12,11,0,0,1380,42,0
32,37070,12,11,0,0,0,45,0
34,337587,13,10,0,0,0,50,1
28,189346,9,9,0,0,0,45,0
25,267044,13,10,1,0,0,20,0
34,108116,14,13,0,0,0,50,1
38,99146,14,13,0,15024,0,80,1
50,196232,9,9,0,7688,0,50,1
24,248344,13,10,0,0,0,50,0
37,186035,13,10,0,0,0,45,1
44,177905,13,10,0,0,0,58,1
28,85812,13,10,1,0,0,40,0
42,221172,14,13,0,0,0,40,1
74,99183,13,10,1,0,0,9,0
38,190387,9,9,0,0,0,50,0
44,202692,15,14,0,0,0,40,0
44,109339,7,7,1,0,0,46,0
26,108658,9,9,0,0,0,40,0
36,197202,9,9,0,0,0,40,0
41,101739,11,12,1,0,0,50,1
67,231559,10,15,0,20051,0,48,1
39,207853,8,8,0,0,0,50,0
57,190942,2,2,1,0,0,30,0
29,102345,12,11,0,0,0,40,0
31,41493,14,13,1,0,0,45,0
44,210525,13,10,0,0,0,40,0
29,133937,16,16,0,0,0,40,0
30,237903,13,10,1,0,0,40,0
27,163862,9,9,0,0,0,40,0
27,201872,13,10,0,0,0,50,0
32,84179,9,9,1,0,0,45,0
58,51662,6,6,1,0,0,8,0
35,233327,13,10,0,0,0,40,0
21,259510,9,9,0,0,0,36,0
28,184831,13,10,0,0,0,40,0
46,245724,13,10,0,0,0,50,0
36,27053,9,9,1,0,0,40,0
72,205343,7,7,1,0,0,40,0
35,229328,9,9,1,0,0,40,0
33,319560,12,11,1,0,0,40,1
69,136218,7,7,1,0,0,40,0
35,54576,9,9,0,0,0,40,0
31,323069,9,9,1,0,0,20,0
34,148291,9,9,1,0,0,32,0
30,152453,7,7,0,0,0,40,0
28,114053,14,13,0,0,0,55,0
54,212960,14,13,0,0,0,35,1
47,264052,13,10,0,0,0,50,1
24,82804,9,9,1,0,0,40,0
52,334273,14,13,0,0,0,60,1
20,27337,9,9,0,0,0,48,0
43,188436,15,14,0,5013,0,45,0
45,433665,4,4,1,0,0,40,0
29,110663,9,9,0,0,0,35,0
47,87490,15,14,0,0,0,42,0
24,354351,9,9,0,0,0,40,0
51,95469,9,9,0,0,0,40,0
17,242718,7,7,0,0,0,12,0
37,22463,12,11,0,0,1977,40,1
27,158156,16,16,1,0,0,70,0
29,350162,14,13,0,0,0,40,1
36,28738,11,12,1,0,0,35,0
58,283635,14,13,1,0,0,40,0
26,86646,13,10,0,0,0,45,0
57,69884,9,9,0,0,0,40,1
59,199713,9,9,0,0,0,40,0
27,181659,9,9,0,0,0,40,0
31,340939,14,13,0,0,0,40,0
21,197747,13,10,1,0,0,24,0
29,34292,13,10,0,0,0,60,0
18,156764,7,7,0,0,0,40,0
52,25826,6,6,0,0,1887,47,1
57,103948,14,13,0,0,0,80,0
60,39352,4,4,0,0,0,48,1
31,168387,14,13,0,7688,0,40,1
23,117789,14,13,1,0,0,40,0
27,267147,9,9,0,0,0,40,0
42,214242,10,15,0,0,1902,50,1
25,200408,13,10,0,2174,0,40,0
49,136455,14,13,1,0,0,45,0
32,239824,14,13,0,0,0,40,0
19,217039,13,10,0,0,0,28,0
60,51290,4,4,1,0,0,40,0
42,175674,5,5,0,0,0,40,0
35,194404,11,12,0,0,0,40,0
48,45612,9,9,1,0,0,37,0
51,410114,15,14,0,0,0,40,1
29,182521,9,9,0,0,0,40,0
36,339772,9,9,0,0,0,40,0
17,169658,6,6,1,0,0,21,0
52,200853,15,14,1,6849,0,60,0
24,247564,9,9,0,0,0,40,0
24,249909,9,9,0,0,0,50,0
26,208122,14,13,0,1055,0,40,0
27,109881,14,13,1,0,0,20,0
39,207824,9,9,0,0,0,60,0
30,369027,9,9,0,0,0,45,0
50,114117,9,9,0,0,0,32,0
52,51048,14,13,0,0,0,55,0
46,102388,10,15,0,15024,0,45,1
23,190483,14,13,1,0,0,20,0
45,462440,7,7,1,0,0,20,0
65,109351,5,5,1,0,0,24,0
29,34383,12,11,0,0,0,55,0
47,241832,5,5,0,0,0,40,0
30,124187,9,9,0,0,0,60,0
34,153614,9,9,0,0,0,45,1
38,267556,9,9,0,0,0,64,0
33,205469,13,10,0,0,0,40,1
49,268090,14,13,0,0,0,26,1
47,165039,13,10,1,0,0,40,0
49,120451,6,6,1,0,0,40,0
43,154374,13,10,0,15024,0,60,1
30,103649,14,13,1,0,0,40,1
58,35723,9,9,0,0,0,60,0
19,262601,9,9,1,0,0,14,0
21,226181,14,13,0,0,0,40,0
33,175697,14,13,0,15024,0,60,1
47,248145,3,3,0,0,0,50,0
52,289436,16,16,0,0,0,60,1
26,75654,9,9,0,0,0,55,0
60,199378,9,9,0,0,0,40,0
21,160968,13,10,0,0,0,40,0
36,188563,13,10,0,5178,0,50,1
31,55849,13,10,0,0,0,45,0
50,195322,16,16,0,0,0,40,1
31,402089,9,9,1,0,0,40,0
71,78277,9,9,0,0,0,15,0
30,169496,14,13,0,0,0,40,1
20,130959,13,10,0,0,0,20,0
24,556660,9,9,0,4101,0,50,0
35,292472,16,16,0,0,0,40,1
38,143774,13,10,1,0,0,45,0
27,288341,9,9,1,0,0,32,0
29,71592,13,10,1,0,0,40,0
34,106742,9,9,0,0,0,45,0
44,219288,4,4,0,0,0,35,0
43,174524,9,9,0,0,0,40,1
44,335183,8,8,0,0,0,40,1
35,261293,15,14,0,0,0,60,0
27,111900,13,10,0,0,0,40,0
43,194360,15,14,0,0,0,38,0
20,81145,13,10,1,0,0,25,0
42,341204,11,12,1,8614,0,40,1
27,249362,13,10,0,3411,0,40,0
42,247019,9,9,0,0,0,40,1
24,172146,5,5,0,0,1721,40,0
48,110457,13,10,0,0,0,40,0
17,368700,7,7,0,0,0,10,0
33,182556,14,13,0,0,0,40,1
50,219420,9,9,0,0,0,50,1
22,240817,9,9,1,2597,0,40,0
17,102726,8,8,0,0,0,16,0
32,226267,13,10,0,0,0,40,0
31,125457,9,9,0,0,0,45,0
58,204021,9,9,0,0,0,50,0
29,92262,9,9,0,0,0,48,0
37,161141,12,11,0,0,0,40,1
34,190290,9,9,0,0,0,40,1
23,430828,13,10,0,0,0,40,0
18,59342,7,7,1,0,0,5,0
34,136721,9,9,1,0,0,40,0
45,86644,14,13,1,0,0,55,0
41,195124,15,14,0,0,0,35,0
26,167350,9,9,0,0,0,30,0
54,113000,13,10,0,0,0,40,0
24,140027,13,10,1,0,0,45,0
42,262425,13,10,0,0,0,50,0
20,316702,13,10,0,0,0,20,0
23,335453,14,13,1,0,0,20,0
35,203628,15,14,0,0,0,60,1
31,118710,15,14,0,0,1902,40,1
30,189620,14,13,1,0,0,40,0
19,475028,9,9,1,0,0,20,0
36,110866,14,13,0,0,0,50,0
31,243605,14,13,1,0,1380,40,0
21,163870,13,10,0,0,0,30,0
31,80145,13,10,0,0,0,40,0
46,295566,16,16,1,25236,0,65,1
44,63042,14,13,1,0,0,50,1
40,229148,8,8,0,0,0,40,0
45,242552,13,10,0,0,0,40,0
60,177665,9,9,0,0,0,35,0
18,208103,7,7,0,0,0,25,0
28,296450,14,13,0,0,0,40,0
36,70282,13,10,1,0,0,40,0
36,271767,14,13,0,0,0,40,0
40,144995,12,11,0,4386,0,40,0
36,382635,14,13,1,0,0,35,0
31,295697,9,9,1,0,0,40,0
33,194141,9,9,0,0,0,40,0
19,378418,9,9,1,0,0,40,0
22,214399,13,10,1,0,0,15,0
34,217460,14,13,0,0,0,45,1
33,182556,9,9,0,0,0,40,0
41,125831,9,9,0,0,2051,60,0
29,271328,14,13,0,4650,0,40,0
50,50459,9,9,0,0,0,42,1
42,162140,14,13,0,7298,0,45,1
43,177937,14,13,0,0,0,40,1
44,111502,9,9,1,0,0,40,0
20,299047,13,10,1,0,0,20,0
31,223212,9,9,0,0,0,40,0
65,118474,7,7,0,9386,0,59,1
23,352139,13,10,1,0,0,24,0
55,173093,13,10,1,0,0,40,0
26,181655,12,11,0,0,2377,45,0
25,332702,12,11,1,0,0,15,0
35,234901,13,10,0,2407,0,40,0
36,131414,13,10,1,0,0,36,0
43,260960,14,13,0,0,0,50,0
56,156052,9,9,1,594,0,20,0
42,279914,14,13,0,0,0,40,1
19,192453,13,10,1,0,0,25,0
55,200939,9,9,0,0,0,72,0
42,151408,15,14,1,14084,0,50,1
26,112847,12,11,0,0,0,40,0
17,316929,8,8,0,0,0,20,0
42,126319,14,13,1,0,0,40,1
55,197422,9,9,0,7688,0,40,1
32,267736,13,10,1,0,0,40,0
29,267034,7,7,0,0,0,40,0
46,193047,14,13,0,0,0,37,0
29,356089,14,13,0,7688,0,40,1
22,223515,14,13,0,0,0,20,0
58,87510,6,6,0,0,0,40,0
23,145111,9,9,0,0,0,50,0
39,48093,9,9,0,0,0,40,0
27,31757,12,11,0,0,0,38,0
54,285854,9,9,0,0,0,40,1
33,120064,14,13,1,0,0,45,0
46,167381,9,9,1,0,0,40,1
37,103408,9,9,0,0,0,40,0
36,101460,9,9,1,0,0,18,0
59,420537,9,9,1,0,0,38,1
34,119411,9,9,0,0,0,40,0
53,128272,16,16,0,0,0,70,1
51,386773,14,13,0,0,0,55,1
32,283268,6,6,1,0,0,42,0
31,301526,13,10,0,0,0,40,0
22,151790,13,10,1,0,0,30,0
47,106252,14,13,1,0,0,50,0
32,188557,9,9,0,0,0,40,0
26,171114,13,10,1,0,0,38,0
37,327323,3,3,0,0,0,32,0
31,244147,9,9,0,0,0,55,0
37,280282,12,11,1,0,0,24,1
55,116442,9,9,0,0,0,38,0
23,282579,12,11,0,0,0,56,0
